Date,Cumulative
2018-09-13,1.004029
2018-09-14,1.005350
2018-09-17,1.005350
2018-09-18,1.005126
2018-09-19,1.006032
2018-09-20,1.009004
2018-09-21,1.010204
2018-09-24,1.010204
2018-09-25,1.005446
2018-09-26,1.006171
2018-09-27,1.007961
2018-09-28,1.012081
2018-10-01,1.014447
2018-10-02,1.018758
2018-10-03,1.020098
2018-10-04,1.016138
2018-10-05,1.015324
2018-10-08,1.015324
2018-10-09,1.013204
2018-10-10,1.017040
2018-10-11,1.014848
2018-10-12,1.012837
2018-10-15,1.010181
2018-10-16,1.008766
2018-10-17,1.003599
2018-10-18,1.001925
2018-10-19,1.002829
2018-10-22,1.003926
2018-10-23,1.004982
2018-10-24,1.011145
2018-10-25,1.011274
2018-10-26,1.004338
2018-10-29,1.003229
2018-10-30,1.001579
2018-10-31,0.997416
2018-11-01,0.987129
2018-11-02,0.977124
2018-11-05,0.975569
2018-11-06,0.977831
2018-11-07,0.971152
2018-11-08,0.972607
2018-11-09,0.966379
2018-11-12,0.965034
2018-11-13,0.964846
2018-11-14,0.963759
2018-11-15,0.965560
2018-11-16,0.964551
2018-11-19,0.967292
2018-11-20,0.966620
2018-11-21,0.967944
2018-11-22,0.968501
2018-11-23,0.968501
2018-11-26,0.966297
2018-11-27,0.964978
2018-11-28,0.966502
2018-11-29,0.965695
2018-11-30,0.964095
2018-12-03,0.956160
2018-12-04,0.966115
2018-12-05,0.971398
2018-12-06,0.977345
2018-12-07,0.979519
2018-12-10,0.974973
2018-12-11,0.982220
2018-12-12,0.974146
2018-12-13,0.972130
2018-12-14,0.977698
2018-12-17,0.985882
2018-12-18,0.980746
2018-12-19,0.975625
2018-12-20,0.983756
2018-12-21,0.983929
2018-12-24,0.983929
2018-12-25,0.980266
2018-12-26,0.966346
2018-12-27,0.973623
2018-12-28,0.974484
2018-12-31,0.974484
2019-01-04,0.979089
2019-01-07,0.973524
2019-01-08,0.972472
2019-01-09,0.975803
2019-01-10,0.972815
2019-01-11,0.974856
2019-01-15,0.971738
2019-01-16,0.972585
2019-01-17,0.975609
