Date,Cumulative
2018-09-13,0.999234
2018-09-17,0.999234
2018-09-20,0.996557
2018-09-21,0.994945
2018-09-26,1.000575
2018-09-27,1.000547
2018-09-28,0.999782
2018-10-05,1.000260
2018-10-11,1.006888
2018-10-12,1.004185
2018-10-15,1.006818
2018-10-24,1.006564
2018-10-30,1.011213
2018-11-06,1.011600
2018-11-14,1.017007
2018-11-15,1.018183
2018-11-20,1.016428
2018-11-29,1.016737
2018-11-30,1.024417
2018-12-03,1.038065
2018-12-04,1.030727
2018-12-05,1.029189
2018-12-12,1.036923
2018-12-14,1.035282
2018-12-19,1.048561
2018-12-20,1.039316
2018-12-26,1.057658
2018-12-27,1.047930
2019-01-11,1.050267
2019-01-16,1.049064
2019-01-29,1.053307
2019-02-01,1.057390
2019-02-04,1.061947
2019-02-06,1.063374
2019-02-07,1.069707
2019-02-13,1.068313
2019-02-14,1.069388
2019-02-15,1.069128
2019-02-19,1.069735
2019-02-20,1.068644
2019-02-21,1.067490
2019-02-25,1.069750
2019-02-28,1.068650
2019-03-04,1.067458
2019-03-06,1.067581
2019-03-07,1.060802
2019-03-08,1.056555
2019-03-11,1.055971
2019-03-12,1.059754
2019-03-18,1.057930
2019-03-26,1.058264
2019-03-27,1.060336
2019-03-29,1.064160
2019-04-01,1.065145
2019-04-02,1.066488
2019-04-03,1.068969
2019-04-05,1.072811
2019-04-08,1.070213
2019-04-10,1.071778
2019-04-15,1.069570
2019-04-17,1.067890
2019-04-22,1.068729
2019-04-23,1.067761
2019-04-26,1.069311
2019-05-07,1.083770
2019-05-09,1.091855
2019-05-13,1.090858
2019-05-15,1.095781
2019-05-21,1.097059
2019-05-22,1.099148
2019-05-27,1.093143
2019-06-03,1.107654
2019-06-05,1.090674
2019-06-07,1.089664
2019-06-10,1.090243
2019-06-11,1.089860
2019-06-12,1.092947
2019-06-13,1.092965
2019-06-17,1.095940
2019-06-20,1.093726
2019-06-24,1.095067
2019-07-02,1.093769
2019-07-03,1.091113
2019-07-09,1.090376
2019-07-11,1.090349
2019-07-12,1.093039
2019-07-24,1.096317
2019-07-25,1.097320
2019-07-26,1.094352
2019-08-01,1.098910
2019-08-02,1.085054
2019-08-07,1.084160
2019-08-14,1.076972
2019-08-16,1.076013
2019-08-22,1.074115
2019-08-27,1.076982
2019-08-29,1.079033
2019-09-18,1.073283
2019-09-25,1.077009
2019-09-26,1.078292
2019-09-30,1.080204
2019-10-03,1.079375
2019-10-04,1.077525
2019-10-09,1.077556
2019-10-10,1.075371
2019-10-18,1.075429
2019-10-23,1.073252
2019-10-31,1.073930
2019-11-01,1.073157
2019-11-05,1.074098
2019-11-08,1.062751
2019-11-15,1.062921
2019-11-18,1.070688
2019-11-19,1.074527
2019-11-26,1.073848
2019-11-27,1.071833
2019-11-29,1.071933
2019-12-02,1.075161
2019-12-06,1.076792
2019-12-09,1.074711
2019-12-10,1.072630
2019-12-12,1.068344
2019-12-13,1.078097
2019-12-16,1.070550
2019-12-19,1.069401
2019-12-24,1.069794
2019-12-25,1.071130
2020-01-09,1.070197
2020-01-29,1.071577
2020-02-03,1.077285
2020-02-04,1.078620
2020-02-12,1.080691
2020-02-17,1.082871
2020-02-18,1.085518
2020-02-19,1.088882
2020-03-11,1.086309
2020-03-13,1.126252
2020-03-16,1.111852
2020-03-18,1.083255
2020-03-23,1.072384
2020-03-24,1.066372
2020-03-25,1.094458
2020-04-02,1.098111
2020-04-03,1.063767
2020-04-07,1.052039
2020-04-15,1.054737
2020-04-17,1.053712
2020-04-22,1.050415
2020-04-23,1.058613
2020-04-27,1.068976
2020-04-30,1.085686
2020-05-01,1.080007
2020-05-11,1.075483
2020-05-12,1.075309
2020-05-18,1.072750
2020-05-19,1.063570
2020-05-20,1.063533
2020-05-22,1.070829
2020-05-26,1.071181
2020-05-27,1.044912
2020-05-29,1.036246
2020-06-03,1.041895
2020-06-04,1.034714
2020-06-05,1.046844
2020-06-09,1.043624
2020-06-10,1.041186
2020-06-16,1.039409
2020-06-17,1.043496
2020-06-18,1.044028
2020-06-29,1.047452
2020-07-01,1.058463
2020-07-02,1.057613
2020-07-03,1.068043
2020-07-06,1.068732
2020-07-07,1.073959
2020-07-08,1.074264
2020-07-14,1.064862
2020-07-16,1.069414
2020-07-17,1.067045
2020-07-22,1.070677
2020-07-29,1.064293
2020-07-31,1.074735
2020-08-04,1.071386
2020-08-05,1.076484
2020-08-07,1.071931
2020-08-12,1.067252
2020-08-13,1.064575
2020-08-18,1.060848
2020-08-21,1.064754
2020-09-07,1.065355
2020-09-08,1.065972
2020-09-09,1.065240
2020-09-15,1.063046
2020-09-16,1.066527
2020-09-18,1.064908
2020-09-23,1.058081
2020-09-25,1.053251
2020-10-02,1.040640
2020-10-05,1.033845
2020-10-13,1.032179
2020-10-14,1.034256
2020-10-27,1.035468
2020-10-29,1.034131
2020-10-30,1.026127
2020-11-04,1.016988
2020-11-11,1.012192
2020-11-12,1.004044
2020-11-17,1.006044
2020-11-18,0.998818
2020-11-25,0.996307
2020-11-26,0.996673
2020-12-04,0.994644
2020-12-08,0.992018
2020-12-10,0.983474
2020-12-11,0.988104
2020-12-14,0.981111
2020-12-23,0.979271
2020-12-24,0.978290
2020-12-30,0.975972
2021-01-04,0.977188
2021-01-06,0.966642
2021-01-15,0.965717
2021-01-19,0.965188
2021-01-20,0.964584
2021-01-21,0.967797
2021-01-22,0.968407
2021-01-25,0.970731
2021-01-26,0.974673
2021-01-27,0.974134
2021-01-28,0.964922
2021-02-03,0.964169
2021-02-04,0.964174
2021-02-05,0.970468
2021-02-09,0.970659
2021-02-10,0.980755
2021-02-16,0.988333
2021-02-17,1.001052
2021-02-18,0.990550
2021-02-19,0.989574
2021-02-24,0.987582
2021-02-25,0.984794
2021-02-26,0.973185
2021-03-03,0.977248
2021-03-09,0.986958
2021-03-10,0.988391
2021-03-12,0.979694
2021-03-16,0.977892
2021-03-19,0.985070
2021-03-22,0.982951
2021-03-26,0.979607
2021-03-29,0.968621
2021-03-30,0.967022
2021-04-13,0.957587
2021-04-14,0.956597
2021-04-16,0.956887
2021-04-20,0.965346
2021-04-23,0.968761
2021-04-27,0.966169
2021-05-06,0.978549
2021-05-07,0.989347
2021-05-10,0.986697
2021-05-11,0.988022
2021-05-17,0.994815
2021-05-18,0.994314
2021-05-24,0.994324
2021-05-26,1.004366
2021-05-27,1.012226
2021-05-28,1.010076
2021-06-08,1.010592
2021-06-09,1.003098
2021-06-10,1.004718
2021-06-11,1.010300
2021-06-14,1.014273
2021-06-16,1.012847
2021-06-21,1.002442
2021-06-22,1.003133
2021-06-25,1.001815
2021-06-28,1.006160
2021-06-29,1.005810
2021-07-05,1.011485
2021-07-09,1.014601
2021-07-13,1.016483
2021-07-14,1.016948
2021-07-16,1.012425
2021-07-20,1.017886
2021-07-21,1.022573
2021-07-30,1.023299
2021-08-02,1.028940
2021-08-05,1.029750
2021-08-10,1.032642
2021-08-24,1.041885
2021-08-31,1.046984
2021-09-06,1.048922
2021-09-13,1.049545
2021-09-14,1.054088
2021-09-15,1.051902
2021-09-17,1.049583
2021-09-27,1.055539
2021-09-28,1.055545
2021-09-29,1.055587
2021-10-05,1.059138
2021-10-06,1.080399
2021-10-07,1.080725
2021-10-11,1.091986
2021-10-12,1.101269
2021-10-13,1.100411
2021-11-11,1.093954
2021-11-15,1.088763
2021-11-25,1.095163
2021-12-02,1.099742
2021-12-03,1.091103
2021-12-13,1.087684
2021-12-16,1.087750
2021-12-20,1.076411
2021-12-30,1.079042
2022-01-04,1.084285
2022-01-06,1.094895
2022-01-07,1.115811
2022-01-11,1.130792
2022-01-17,1.129494
2022-01-20,1.130257
2022-01-21,1.130199
2022-01-24,1.128840
2022-01-25,1.130206
2022-01-27,1.147400
2022-01-28,1.151823
2022-01-31,1.145502
2022-02-03,1.146919
2022-02-08,1.155293
2022-02-09,1.157280
2022-02-15,1.151052
2022-02-22,1.154797
2022-02-24,1.155458
2022-02-25,1.145312
2022-03-01,1.148922
2022-03-04,1.141873
2022-03-11,1.128146
2022-03-17,1.126474
2022-03-18,1.133334
2022-03-24,1.144328
2022-03-28,1.141552
2022-03-29,1.145710
2022-04-01,1.149173
2022-04-07,1.152932
2022-04-08,1.149745
2022-04-11,1.155995
2022-04-12,1.164201
2022-04-14,1.171272
2022-04-18,1.171715
2022-04-19,1.175889
2022-04-22,1.171570
2022-05-02,1.168157
2022-05-09,1.173587
2022-05-10,1.161361
2022-05-13,1.167212
2022-05-18,1.164657
2022-05-25,1.164849
2022-05-31,1.168907
2022-06-01,1.161138
2022-06-06,1.161189
2022-06-08,1.159382
2022-06-09,1.163098
2022-06-17,1.161942
2022-06-21,1.164296
2022-06-22,1.170745
2022-06-24,1.182972
2022-06-27,1.182619
2022-06-28,1.172787
2022-07-01,1.177824
2022-07-04,1.181545
2022-07-07,1.189548
2022-07-08,1.183233
2022-07-11,1.173218
2022-07-21,1.172571
2022-07-22,1.177018
2022-07-25,1.165553
2022-07-29,1.157191
2022-08-01,1.163111
2022-08-02,1.163048
2022-08-09,1.167484
2022-08-10,1.163430
2022-08-12,1.158406
2022-08-15,1.153146
2022-08-18,1.156609
2022-08-22,1.157861
2022-08-24,1.157222
2022-08-25,1.155650
2022-08-26,1.157019
2022-08-29,1.151784
2022-09-05,1.153734
2022-09-08,1.148484
2022-09-20,1.146186
2022-09-22,1.144624
2022-09-26,1.145472
2022-09-27,1.145288
2022-09-28,1.138155
2022-10-12,1.141963
2022-10-13,1.136677
2022-10-18,1.136428
2022-10-24,1.141554
2022-10-28,1.134574
2022-10-31,1.135773
2022-11-02,1.145080
2022-11-04,1.150092
2022-11-07,1.150427
2022-11-08,1.153983
2022-11-09,1.152949
2022-11-10,1.150233
2022-11-14,1.154209
2022-11-15,1.160347
2022-11-17,1.155679
2022-11-22,1.154520
2022-11-24,1.156565
2022-11-25,1.152737
2022-11-28,1.160728
2022-11-29,1.160628
2022-11-30,1.163900
2022-12-05,1.168356
2022-12-06,1.170089
2022-12-07,1.173332
2022-12-08,1.170206
2022-12-09,1.170424
2022-12-13,1.169839
2022-12-16,1.168742
2022-12-19,1.169727
2022-12-20,1.179892
2022-12-21,1.179985
2022-12-26,1.174793
2022-12-29,1.169609
2022-12-30,1.173297
2023-01-05,1.168597
2023-01-19,1.173288
2023-01-20,1.175680
2023-01-23,1.175201
2023-01-26,1.171827
2023-02-01,1.168253
2023-02-07,1.160286
2023-02-08,1.164307
2023-02-10,1.164580
2023-02-13,1.169771
2023-02-16,1.174425
2023-02-17,1.175951
2023-02-27,1.168847
2023-03-01,1.166466
2023-03-02,1.167067
2023-03-10,1.160745
2023-03-15,1.150699
2023-03-17,1.162645
2023-03-22,1.157111
2023-03-24,1.153316
2023-04-06,1.163310
2023-04-07,1.154087
2023-04-10,1.158362
2023-04-11,1.155167
2023-04-13,1.157533
2023-04-14,1.164646
2023-04-21,1.175958
2023-04-24,1.180193
2023-04-25,1.183209
2023-04-26,1.184665
2023-05-02,1.183603
2023-05-08,1.180126
2023-05-12,1.186884
2023-05-16,1.195198
2023-05-23,1.196550
2023-05-25,1.198911
2023-05-26,1.187964
2023-05-29,1.190708
2023-05-30,1.189012
2023-05-31,1.184252
2023-06-01,1.189037
2023-06-05,1.195628
2023-06-06,1.202171
2023-06-14,1.212654
2023-06-15,1.215069
2023-06-19,1.219989
2023-06-20,1.222436
2023-06-21,1.220041
2023-06-23,1.233870
2023-06-28,1.234791
2023-07-03,1.234355
2023-07-04,1.222121
2023-07-05,1.224588
2023-07-06,1.218341
2023-07-07,1.217956
2023-07-10,1.223742
2023-07-11,1.222699
2023-07-21,1.220631
2023-07-24,1.228935
2023-07-25,1.236777
2023-07-26,1.235168
2023-07-28,1.242537
2023-08-02,1.249601
2023-08-09,1.241351
2023-08-23,1.240159
2023-08-25,1.238220
2023-08-29,1.233870
2023-08-30,1.235347
2023-08-31,1.237785
2023-09-01,1.234552
2023-09-04,1.239363
2023-09-07,1.239455
2023-09-25,1.233420
2023-09-26,1.234661
2023-09-28,1.228744
2023-10-03,1.226812
2023-10-04,1.226101
2023-10-06,1.224161
2023-10-11,1.222162
2023-10-12,1.218124
2023-10-13,1.219580
2023-10-18,1.213229
2023-10-25,1.209292
2023-10-26,1.211975
2023-10-31,1.221364
2023-11-01,1.220717
