Date,Cumulative
2018-09-13,1.001512
2018-09-18,1.004628
2018-09-19,1.008872
2018-09-20,1.008646
2018-09-21,1.018425
2018-09-27,1.017633
2018-10-03,1.011957
2018-10-05,1.015127
2018-10-08,1.015127
2018-10-10,1.018921
2018-10-17,1.021151
2018-10-22,1.021256
2018-10-24,1.024911
2018-10-25,1.030150
2018-10-26,1.032153
2018-10-31,1.029049
2018-11-09,1.033447
2018-11-12,1.033378
2018-11-13,1.032803
2018-11-14,1.037880
2018-11-15,1.040265
2018-11-22,1.041450
2018-11-27,1.040278
2018-11-29,1.038624
2018-12-04,1.051084
2018-12-06,1.061510
2018-12-07,1.063872
2018-12-10,1.067495
2018-12-12,1.057976
2018-12-13,1.054982
2018-12-17,1.053199
2018-12-21,1.054392
2018-12-24,1.054392
2018-12-25,1.075639
2018-12-26,1.068643
2018-12-27,1.054393
2018-12-28,1.057441
2018-12-31,1.057441
2019-01-04,1.065610
2019-01-10,1.061841
2019-01-15,1.061289
2019-01-17,1.065851
2019-01-24,1.061609
2019-01-25,1.060319
2019-02-01,1.058539
2019-02-04,1.060215
2019-02-06,1.058917
2019-02-08,1.062389
2019-02-12,1.057768
2019-02-21,1.056463
2019-02-25,1.059387
2019-02-26,1.060030
2019-02-28,1.057359
2019-03-04,1.054885
2019-03-05,1.054582
2019-03-12,1.056765
2019-03-14,1.056543
2019-03-15,1.057468
2019-03-25,1.061203
2019-03-26,1.060376
2019-03-27,1.061866
2019-04-02,1.059706
2019-04-09,1.061397
2019-04-10,1.058882
2019-04-11,1.061156
2019-04-17,1.054797
2019-04-22,1.059549
2019-04-23,1.057194
2019-04-24,1.053075
2019-04-26,1.055801
2019-05-07,1.068703
2019-05-08,1.081710
2019-05-14,1.069948
2019-05-15,1.076352
2019-05-17,1.072427
2019-05-20,1.069122
2019-05-21,1.070848
2019-05-22,1.068812
2019-05-24,1.069686
2019-05-27,1.070707
2019-06-03,1.089848
2019-06-07,1.089009
2019-06-10,1.088214
2019-06-11,1.086759
2019-06-14,1.084665
2019-06-18,1.077851
2019-06-21,1.067707
2019-06-25,1.064649
2019-06-26,1.064889
2019-07-01,1.064330
2019-07-03,1.066809
2019-07-04,1.069622
2019-07-05,1.066855
2019-07-08,1.065287
2019-07-12,1.067695
2019-07-16,1.069202
2019-07-17,1.069264
2019-07-19,1.069177
2019-07-22,1.065439
2019-07-29,1.070101
2019-07-30,1.073685
2019-07-31,1.074365
2019-08-05,1.075499
2019-08-08,1.082065
2019-08-09,1.089499
2019-08-14,1.087459
2019-08-15,1.092621
2019-08-16,1.092241
2019-08-19,1.087528
2019-08-22,1.088366
2019-08-23,1.088366
2019-08-28,1.090818
2019-09-05,1.080156
2019-09-13,1.072009
2019-09-19,1.075228
2019-09-20,1.072039
2019-09-24,1.074667
2019-09-26,1.075947
2019-09-30,1.077855
2019-10-02,1.085025
2019-10-03,1.082059
2019-10-08,1.080617
2019-10-11,1.076089
2019-10-18,1.076439
2019-10-21,1.072909
2019-10-28,1.069395
2019-10-30,1.075791
2019-11-01,1.075017
2019-11-05,1.075589
2019-11-08,1.064227
2019-11-12,1.065366
2019-11-14,1.064462
2019-11-15,1.064632
2019-11-19,1.073152
2019-11-20,1.077727
2019-11-21,1.077197
2019-11-22,1.076331
2019-11-27,1.079163
2019-11-28,1.080078
2019-11-29,1.082238
2019-12-02,1.079306
2019-12-04,1.077467
2019-12-05,1.080360
2019-12-06,1.080764
2019-12-12,1.082604
2019-12-13,1.080014
2019-12-17,1.084840
2019-12-18,1.088203
2019-12-23,1.090347
2019-12-24,1.088133
2020-01-06,1.081720
2020-01-07,1.090246
2020-01-08,1.096153
2020-01-10,1.097676
2020-01-14,1.099951
2020-01-16,1.099170
2020-01-17,1.095134
2020-01-21,1.094025
2020-01-22,1.091668
2020-01-23,1.094367
2020-01-24,1.094802
2020-01-29,1.093880
2020-02-03,1.097716
2020-02-10,1.097147
2020-02-17,1.095168
2020-02-18,1.090225
2020-02-19,1.089632
2020-02-20,1.093128
2020-02-27,1.103891
2020-02-28,1.100775
2020-03-04,1.105224
2020-03-06,1.109519
2020-03-09,1.123428
2020-03-10,1.139530
2020-03-11,1.146765
2020-03-19,1.147695
2020-03-23,1.136189
2020-03-25,1.149913
2020-03-30,1.164215
2020-03-31,1.151485
2020-04-01,1.168973
2020-04-08,1.167718
2020-04-09,1.176353
2020-04-10,1.181119
2020-04-13,1.187392
2020-04-14,1.183476
2020-04-21,1.186195
2020-04-23,1.200746
2020-04-27,1.219119
2020-04-30,1.227805
2020-05-01,1.242755
2020-05-11,1.237847
2020-05-12,1.240975
2020-05-18,1.240879
2020-05-20,1.234905
2020-05-22,1.240261
2020-05-25,1.240190
2020-05-28,1.237900
2020-05-29,1.233725
2020-06-03,1.234787
2020-06-04,1.231968
2020-06-05,1.226934
2020-06-08,1.226611
2020-06-09,1.222936
2020-06-10,1.220484
2020-06-16,1.217908
2020-06-17,1.217014
2020-06-25,1.210663
2020-06-29,1.211421
2020-07-14,1.215717
2020-07-17,1.206615
2020-07-27,1.212177
2020-07-28,1.209179
2020-07-31,1.196608
2020-08-06,1.205400
2020-08-07,1.205068
2020-08-12,1.205670
2020-08-13,1.200642
2020-08-18,1.195166
2020-08-26,1.198003
2020-08-31,1.192566
2020-09-01,1.184424
2020-09-03,1.183307
2020-09-07,1.190589
2020-09-08,1.185336
2020-09-09,1.181708
2020-09-10,1.187775
2020-09-14,1.193041
2020-09-15,1.197658
2020-09-16,1.200523
2020-09-17,1.209732
2020-09-24,1.208924
2020-09-25,1.207075
2020-09-28,1.208483
2020-09-29,1.210174
2020-10-02,1.203667
2020-10-05,1.200210
2020-10-07,1.193583
2020-10-08,1.188951
2020-10-09,1.192973
2020-10-13,1.190558
2020-10-14,1.196719
2020-10-15,1.195314
2020-10-20,1.189505
2020-10-23,1.194348
2020-10-28,1.207495
2020-10-29,1.205528
2020-11-05,1.221661
2020-11-06,1.218146
2020-11-10,1.204370
2020-11-13,1.213525
2020-11-16,1.205581
2020-11-27,1.210544
2020-11-30,1.216680
2020-12-01,1.217040
2020-12-02,1.215723
2020-12-03,1.209797
2020-12-04,1.204352
2020-12-09,1.205576
2020-12-10,1.213571
2020-12-15,1.213499
2020-12-16,1.207746
2020-12-21,1.202925
2020-12-22,1.206923
2020-12-24,1.204198
2020-12-28,1.204591
2020-12-29,1.202539
2020-12-30,1.199005
2021-01-04,1.210903
2021-01-05,1.201977
2021-01-15,1.203991
2021-01-19,1.208436
2021-01-20,1.204436
2021-01-21,1.207339
2021-01-22,1.206723
2021-01-25,1.217705
2021-01-26,1.225591
2021-01-27,1.222641
2021-01-28,1.215839
2021-02-01,1.207738
2021-02-04,1.206399
2021-02-08,1.201815
2021-02-12,1.190531
2021-02-15,1.190317
2021-02-22,1.188731
2021-03-02,1.186924
2021-03-03,1.189738
2021-03-09,1.199414
2021-03-11,1.195263
2021-03-15,1.199759
2021-03-17,1.204841
2021-03-18,1.197754
2021-03-22,1.202165
2021-03-23,1.208859
2021-03-24,1.202982
2021-03-25,1.199231
2021-03-30,1.192235
2021-03-31,1.187722
2021-04-02,1.187580
2021-04-07,1.182134
2021-04-08,1.185320
2021-04-09,1.196466
2021-04-12,1.195909
2021-04-13,1.184689
2021-04-15,1.176919
2021-04-19,1.170477
2021-04-20,1.171676
2021-04-22,1.179386
2021-04-26,1.173828
2021-05-10,1.169953
2021-05-12,1.187070
2021-05-13,1.196364
2021-05-17,1.202752
2021-05-20,1.201437
2021-05-21,1.207975
2021-05-24,1.202700
2021-05-27,1.212361
2021-06-01,1.201947
2021-06-02,1.200785
2021-06-07,1.205889
2021-06-08,1.217650
2021-06-09,1.223166
2021-06-11,1.225360
2021-06-14,1.223520
2021-06-16,1.220513
2021-06-21,1.208916
2021-06-24,1.206728
2021-06-28,1.208061
2021-06-29,1.209848
2021-06-30,1.209395
2021-07-02,1.204077
2021-07-06,1.196831
2021-07-07,1.201628
2021-07-08,1.200483
2021-07-09,1.195581
2021-07-12,1.195829
2021-07-15,1.188610
2021-07-16,1.184758
2021-07-19,1.190013
2021-07-20,1.197066
2021-07-21,1.201998
2021-07-27,1.199048
2021-07-29,1.192960
2021-08-04,1.193993
2021-08-06,1.189780
2021-08-11,1.187274
2021-08-16,1.188904
2021-08-17,1.196664
2021-08-18,1.195434
2021-08-19,1.207213
2021-08-23,1.196363
2021-08-24,1.196616
2021-09-01,1.196801
2021-09-03,1.192649
2021-09-07,1.192932
2021-09-08,1.189078
2021-09-10,1.192598
2021-09-16,1.201064
2021-10-01,1.197496
2021-10-07,1.194878
2021-10-08,1.195871
2021-10-11,1.177329
2021-10-15,1.176802
2021-10-18,1.162566
2021-10-21,1.162964
2021-10-22,1.163506
2021-10-25,1.157114
2021-10-28,1.160930
2021-10-29,1.162447
2021-11-02,1.166838
2021-11-05,1.169307
2021-11-08,1.166587
2021-11-12,1.164075
2021-11-16,1.163403
2021-11-17,1.167193
2021-11-18,1.166597
2021-11-19,1.163298
2021-11-22,1.163101
2021-11-24,1.161286
2021-11-30,1.158563
2021-12-01,1.145716
2021-12-03,1.134696
2021-12-07,1.130925
2021-12-08,1.135119
